brand ,Name,Category,price,description,in_store 
Microsoft,Xbox Series X,Console,146.68,"Microsoft console with fast load times, 12 teraflops processing power, 4K gaming at up to 120 FPS",TRUE
Nintendo,Xbox Series X,Console,854.38,"Microsoft console with fast load times, 12 teraflops processing power, 4K gaming at up to 120 FPS",TRUE
Asus,Odyssey G5,Monitors,856.91,"34-inch curved gaming monitor, 165Hz, 1ms response time, WQHD resolution for immersive visuals",TRUE
Apple,iPad Pro 12.9,Tablets,1451.73,"M2 chip, 12.9-inch Liquid Retina XDR, 128GB storage, WiFi, perfect for creatives",TRUE
HP,MacBook Pro 16,Laptops,1620.87,"M2 Max chip, 16-inch Retina Display, 16GB RAM, 1TB SSD, ideal for professionals on the go",TRUE
OnePlus,Galaxy S23 Ultra,Phone,1325.47,"256 GB: Dynamic AMOLED display, fast 5G connectivity, Snapdragon 8 Gen 2, enhanced battery performance",TRUE
Lenovo,XPS 8940,Desktop PC,444.73,"Powerful desktop with Intel i7, 16GB RAM, 1TB SSD, NVIDIA GTX graphics for all your computing needs",TRUE
LG,UltraGear 27GN950,Monitors,383.56,"27-inch UHD gaming monitor with 144Hz refresh rate, 1ms response time, G-Sync compatible",FALSE
Acer,Omen 30L,Desktop PC,1027.08,"Gaming PC with Ryzen 7, 16GB RAM, RTX 3060, and RGB lighting for enhanced gaming experience",TRUE
Acer,Omen 30L,Desktop PC,1532.93,"Gaming PC with Ryzen 7, 16GB RAM, RTX 3060, and RGB lighting for enhanced gaming experience",FALSE
Apple,iPhone 15 Pro Max,Phone,1706.1,"128 GB: 5G Mobile phone with Apple Intelligence, Camera Control, A18 Chip, and a Big Boost in Battery Life",FALSE
Sony,PlayStation 5,Console,114.83,"Sony's latest console with SSD storage, 4K gaming, and an immersive controller experience",FALSE
Google,iPhone 15 Pro Max,Phone,720.71,"128 GB: 5G Mobile phone with Apple Intelligence, Camera Control, A18 Chip, and a Big Boost in Battery Life",FALSE
Microsoft,Xbox Series X,Console,135.67,"Microsoft console with fast load times, 12 teraflops processing power, 4K gaming at up to 120 FPS",FALSE
Asus,XPS 8940,Desktop PC,1962.65,"Powerful desktop with Intel i7, 16GB RAM, 1TB SSD, NVIDIA GTX graphics for all your computing needs",TRUE
Asus,Odyssey G5,Monitors,1685.21,"34-inch curved gaming monitor, 165Hz, 1ms response time, WQHD resolution for immersive visuals",TRUE
Apple,Galaxy Tab S8,Tablets,1368.32,"11-inch screen, Snapdragon 8 Gen 1, 256GB storage, S Pen included for productivity",TRUE
Apple,iPhone 15 Pro Max,Phone,1694.24,"128 GB: 5G Mobile phone with Apple Intelligence, Camera Control, A18 Chip, and a Big Boost in Battery Life",FALSE
Amazon,iPad Pro 12.9,Tablets,1881.78,"M2 chip, 12.9-inch Liquid Retina XDR, 128GB storage, WiFi, perfect for creatives",TRUE
Apple,MacBook Pro 16,Laptops,1942.07,"M2 Max chip, 16-inch Retina Display, 16GB RAM, 1TB SSD, ideal for professionals on the go",FALSE
Lenovo,XPS 8940,Desktop PC,1907.75,"Powerful desktop with Intel i7, 16GB RAM, 1TB SSD, NVIDIA GTX graphics for all your computing needs",FALSE
Asus,ThinkPad X1 Carbon,Laptops,1039.28,"Intel i7, 16GB RAM, 512GB SSD, lightweight build, perfect for business professionals",FALSE
Microsoft,PlayStation 5,Console,225.06,"Sony's latest console with SSD storage, 4K gaming, and an immersive controller experience",FALSE
Amazon,iPad Pro 12.9,Tablets,1333.01,"M2 chip, 12.9-inch Liquid Retina XDR, 128GB storage, WiFi, perfect for creatives",FALSE
Lenovo,ThinkPad X1 Carbon,Laptops,1249.45,"Intel i7, 16GB RAM, 512GB SSD, lightweight build, perfect for business professionals",TRUE
